Sentiment,Coin,trades,mean_pnl
Neutral,DOGE,39,2969.4734945384616
Neutral,AVAX,22,1610.9123447727272
Neutral,ZRO,25,1446.8952208
Neutral,SOL,1400,216.69728189285715
Neutral,AIXBT,176,124.94810621590909
Neutral,PNUT,10,98.4738976
Neutral,MELANIA,500,82.596900092
Neutral,ETHFI,35,76.37912525714286
Neutral,TRUMP,337,59.706686178041544
Neutral,@107,4210,52.15010709216152
Neutral,LAYER,143,51.100944755244754
Neutral,USUAL,14,49.79107914285714
Neutral,ETH,1317,46.75329430372058
Neutral,SUI,93,37.19742234408602
Neutral,ALT,65,35.753719076923076
Neutral,BTC,4753,34.92117517925521
Neutral,KAITO,43,20.462103558139535
Neutral,HYPE,17324,17.32280311140614
Neutral,SEI,151,16.7189121192053
Neutral,JELLY,240,14.747853716666667
Neutral,@142,313,14.747182207667732
Neutral,JUP,11,12.230165636363637
Neutral,PENGU,103,11.642146922330097
Neutral,FTT,80,11.469583925
Neutral,ZEREBRO,301,11.364621554817276
Neutral,MAVIA,132,10.57011431060606
Neutral,PENDLE,228,9.858052403508772
Neutral,XRP,4,9.3979725
Neutral,HBAR,1,8.85375
Neutral,IP,125,7.65783456
Neutral,TNSR,26,7.629029384615385
Neutral,PURR,136,7.522074455882353
Neutral,CHILLGUY,9,6.8743155555555555
Neutral,OGN,258,6.793288457364341
Neutral,VINE,571,6.735317182136602
Neutral,WIF,16,6.6161384375
Neutral,W,4,6.433347
Neutral,SAND,16,5.564899625000001
Neutral,RUNE,5,5.5197296
Neutral,RENDER,3,5.2087433333333335
Neutral,LINK,39,4.8587415128205125
Neutral,IO,9,4.679384444444445
Neutral,GRASS,5,4.1311236
Neutral,APE,39,3.5071727692307695
Neutral,ONDO,435,2.8180218275862066
Neutral,VIRTUAL,20,1.6670846000000001
Neutral,NEAR,2,1.6059750000000002
Neutral,ADA,13,1.5306538461538464
Neutral,EIGEN,11,1.046983
Neutral,kBONK,145,0.896872124137931
Neutral,@151,3,0.0
Neutral,@51,96,0.0
Neutral,@8,76,0.0
Neutral,POPCAT,472,-0.08106288347457623
Neutral,kPEPE,160,-0.9510264875000001
Neutral,ZETA,9,-1.5426433333333334
